LINE 0
green (Instance)
-0.1409149 -0.02908672 0.050701
-0.1409149 -0.02908672 0.050701
-0.1409149 -0.02908672 0.050701
-0.1409149 -0.02908672 0.050701
-0.1409149 -0.02908672 0.050701
-0.1409149 -0.02908672 0.050701
-0.1409149 -0.02908672 0.050701
-0.1409149 -0.02908672 0.050701
-0.1409149 -0.02908672 0.050701
-0.1409149 -0.02908672 0.050701
-0.1409149 -0.02908672 0.050701
-0.1409149 -0.02908672 0.050701
-0.1409149 -0.02908672 0.050701
-0.1409149 -0.02908672 0.050701
-0.1196663 -0.02897756 0.05426133
-0.1035069 -0.02909254 0.05051061
-0.08226682 -0.02901447 0.0530572
-0.07166959 -0.02897377 0.05438529
-0.04544576 -0.02878028 0.06069618
-0.0298131 -0.02865467 0.0647943
-0.01424005 -0.0285302 0.06885502
0.006921696 -0.02852243 0.06910744
0.02329369 -0.028666 0.06442463
0.03304027 -0.02842066 0.07242784
0.04300933 -0.02825733 0.07775597
0.0589517 -0.02828795 0.07675768
0.0589517 -0.02828795 0.07675768
0.06441011 -0.028333 0.07528721
0.0751795 -0.02838273 0.0736656
0.0751795 -0.02838273 0.0736656
0.08048305 -0.02838725 0.07351732
0.08048305 -0.02838725 0.07351732
0.08048305 -0.02838725 0.07351732
0.08048305 -0.02838725 0.07351732
0.08580931 -0.02839677 0.0732071
0.08580931 -0.02839677 0.0732071
0.08580931 -0.02839677 0.0732071
0.08580931 -0.02839677 0.0732071
0.08580931 -0.02839677 0.0732071
0.08580931 -0.02839677 0.0732071
0.08580931 -0.02839677 0.0732071
0.08580931 -0.02839677 0.0732071
0.08580931 -0.02839677 0.0732071
NEXT
LINE 1
blue (Instance)
0.07333423 -0.08042065 0.08796866
0.07333423 -0.08042065 0.08796866
0.07333423 -0.08042065 0.08796866
0.06808751 -0.0804211 0.08796121
0.05746875 -0.08036396 0.08897834
0.05195673 -0.08023763 0.0912255
0.03007866 -0.07976104 0.09970552
0.01982578 -0.07986012 0.09794238
0.009920342 -0.0801681 0.09246361
-0.01087332 -0.08026434 0.09075083
-0.0369709 -0.0803427 0.08935587
-0.0628538 -0.0806459 0.08396073
-0.0628538 -0.0806459 0.08396073
-0.09415042 -0.08094407 0.07865584
-0.1046199 -0.08104199 0.0769136
-0.1151612 -0.08105772 0.07663392
-0.1204581 -0.08102457 0.07722344
-0.13105 -0.08094493 0.07864021
-0.1363205 -0.08094697 0.07860417
-0.141582 -0.08097029 0.07818927
-0.141582 -0.08097029 0.07818927
-0.141582 -0.08097029 0.07818927
-0.1468456 -0.08099349 0.07777652
-0.1468456 -0.08099349 0.07777652
-0.1468456 -0.08099349 0.07777652
-0.1468456 -0.08099349 0.07777652
-0.1468456 -0.08099349 0.07777652
NEXT
